编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
3,二级评论,仓笨笨,7789425,不要把名字忘了,397371109,哪里买的,2023-09-15 23:07,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
3,二级评论,仓笨笨,7789425,lx墨离,97118316,不是注册个谷歌账号，改成美区苹果ID，就可以用了,2023-09-16 18:07,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
3,二级评论,仓笨笨,7789425,我G愁心与明月,28860978,,2023-09-21 16:12,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
3,二级评论,仓笨笨,7789425,正统医院骑士,620641975,你感觉如何呀，我也想买，但是有点犹豫，我不知道这玩意儿对学英语有没有什么帮助。,2023-10-04 22:42,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
4,一级评论,up主,up主,比尔_盖茨,99079572,吴恩达也就名气大  有拿的出来手的东西吗,2023-09-19 11:45,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
4,二级评论,比尔_盖茨,99079572,近风臾,694641974,咋不去请你当谷歌brain和百度brain负责人呢？,2023-09-19 14:39,2
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
4,二级评论,比尔_盖茨,99079572,超正经学术君,412444099,做知识传播也是一件值得称赞的事情呀～,2023-09-19 15:27,1
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
4,二级评论,比尔_盖茨,99079572,PrestoDB,485899317,你说老师有啥用？,2023-09-23 11:13,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
4,二级评论,比尔_盖茨,99079572,正统医院骑士,620641975,也别这样，我知道你的感觉。你感觉他作为被炒热的人物有点过热了。我现在最害怕的是哪天他出本华人打鸡血刻苦熬夜寒窗十年考名校的狗书。所以我憎恶所有华人知识份子成功，因为他们大部分都有一套学生996专属PUA成功学，工作时候再PUA你：“年轻人熬夜吃苦成功学.”,2023-10-04 22:41,1
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
5,一级评论,up主,up主,天境的江阿牛,324509045,@AI视频小助理,2023-09-14 21:53,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
6,一级评论,up主,up主,不知名的小法师,279702237,翻译太差了,2023-09-21 07:15,0
