编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
11,二级评论,哥白尼胶布,363422418,璃月反炸中心,1536896681,是前几天全面开放了,2023-09-05 15:07,0
12,一级评论,up主,up主,Ronin--_--,508950612,笔记,2023-09-16 14:27,0
13,一级评论,up主,up主,是不是鸭脖我不知道,3494354633099765,反正我不说，它是非常有个性的，你知道吗？而且非常叛逆，个性中带着叛逆，叛逆中带着情绪，情绪中带着个性，就那种它总能让你尴尬中带着一丝幽默，反正它是懂得，只要它不尴尬，幽默就是我,2023-09-05 20:45,1
14,一级评论,up主,up主,你们童年阴影是真的多,19324936,笔记感谢给我普法,2023-09-10 11:12,0
15,一级评论,up主,up主,冷冷的冰雨脸上吹,175254927,抢到试用资格，快活一整年。,2023-09-05 01:44,0
16,一级评论,up主,up主,AI喵科技,394295434,好家伙,2023-09-07 21:50,0
17,一级评论,up主,up主,bili_5649,2091049835,你说得对,2023-09-04 13:07,0
18,一级评论,up主,up主,呢称与六硬币,51499173,@AI视频小助理 总结一下,2023-09-06 00:46,0
19,一级评论,up主,up主,qwertxuxh,3493266603379089,那个能接入软件吗？,2023-09-08 19:17,0
20,一级评论,up主,up主,一蓑烟雨任平生0110,699691751,它是懂证明的,2023-09-10 07:35,0
21,一级评论,up主,up主,我的双杰,73173668,好用心的视频！,2023-09-04 16:12,0
22,一级评论,up主,up主,黑豆小师弟,403821518,今天就用它写了工工作总结哈哈哈哈真棒,2023-09-05 12:32,0
23,一级评论,up主,up主,鲁鲁修ZERO,871155,我还以为是高仿官方，这建号一个月了才600多粉丝？你还不如交给我运营，起码后边多个0,2023-09-05 07:22,0
23,二级评论,鲁鲁修ZERO,871155,百度文心一言,3494373373250044,正在努力营业中,2023-09-05 12:27,1
23,二级评论,鲁鲁修ZERO,871155,怎么那么低调,96822024,15粉笑600粉,2023-09-05 12:51,0
23,二级评论,鲁鲁修ZERO,871155,鲁鲁修ZERO,871155,回复 @怎么那么低调 :个人号自用而已，真要官方起号不是这个玩法，赛道不一样刻舟求剑没啥意思,2023-09-05 13:29,0
24,一级评论,up主,up主,怎么那么低调,96822024,笔记你是不是被归到某个奇怪的分类去了,2023-09-05 12:52,0
24,二级评论,怎么那么低调,96822024,upupoo577,447665607,有没有可能，只有你是这样,2023-09-05 18:23,0
24,二级评论,怎么那么低调,96822024,怎么那么低调,96822024,回复 @upupoo577 :,2023-09-05 18:54,0
24,二级评论,怎么那么低调,96822024,半山余月,6272768,。。。只有你是这样。。我关注后的推荐是华为。。,2023-09-06 08:12,0
24,二级评论,怎么那么低调,96822024,天阶夜色凉如,43313835,卧槽，极品号啊,2023-09-07 21:17,0
25,一级评论,up主,up主,摸鱼人123,249740803,你家ai算不对3+4 快修修bug吧,2023-09-04 19:19,5
26,一级评论,up主,up主,北流嘉措,71573495,一问政治问题就噤若寒蝉。,2023-09-05 00:55,6
26,二级评论,北流嘉措,71573495,bili_12190528201,624694692,对，哪怕抄教科书都比不回答强 。,2023-09-05 19:01,1
26,二级评论,北流嘉措,71573495,海嗣与黄金梦乡,161188126,我上毛概课用文心搜问题，问了两句就强制结束对话了,2023-09-07 12:28,1
27,一级评论,up主,up主,么么崽的超级奶爸,337554245,要不，换我来运营吧,2023-09-05 10:13,0
27,二级评论,么么崽的超级奶爸,337554245,百度文心一言,3494373373250044,看来你很有经验,2023-09-06 14:45,0
27,二级评论,么么崽的超级奶爸,337554245,么么崽的超级奶爸,337554245,回复 @百度文心一言 :不是，是我运营跟你也差不多哪去,2023-09-06 15:19,0
28,一级评论,up主,up主,J_Anderson_,30339989,请换个话题,2023-09-06 21:47,0
29,一级评论,up主,up主,一曲轻扬,276873778,已经卸载,2023-09-21 12:59,0
29,二级评论,一曲轻扬,276873778,百度文心一言,3494373373250044,求你回来,2023-09-21 13:54,0
30,一级评论,up主,up主,夏冰-lyl,478134642,1,2023-09-05 18:56,0
31,一级评论,up主,up主,比里比里官仿,40574749,笔记那个,2023-09-06 07:42,0
31,二级评论,比里比里官仿,40574749,一只小虫子的ING,407290550,哈哈哈哈哈,2023-09-07 09:53,0
